_________ H3 _________
root@p4:/home/p4/P4_Labs_Docs/LabML/Codigo/r1# tcpdump -i eth0 -n not ip6 > tcpdump3.txt
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes

22:11:48.397043 IP 10.0.1.1.53882 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:48.440735 IP 10.0.1.1.53882 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:48.993438 IP 10.0.1.1.56839 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:49.045799 IP 10.0.1.1.56839 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:49.582477 IP 10.0.1.1.52854 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:49.628975 IP 10.0.1.1.52854 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:50.170760 IP 10.0.1.1.50141 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:50.216615 IP 10.0.1.1.50141 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:50.750400 IP 10.0.1.1.56132 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:50.785249 IP 10.0.1.1.56132 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:51.317860 IP 10.0.1.1.52398 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:51.358597 IP 10.0.1.1.52398 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:51.906995 IP 10.0.1.1.65155 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:51.940866 IP 10.0.1.1.65155 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:52.481063 IP 10.0.1.1.58660 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:52.513682 IP 10.0.1.1.58660 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:53.059462 IP 10.0.1.1.61024 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:53.109318 IP 10.0.1.1.61024 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:53.657218 IP 10.0.1.1.57845 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:53.693275 IP 10.0.1.1.57845 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:54.224804 IP 10.0.1.1.55363 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:54.267317 IP 10.0.1.1.55363 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:54.809760 IP 10.0.1.1.50986 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:54.854642 IP 10.0.1.1.50986 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:55.412578 IP 10.0.1.1.59743 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:55.480717 IP 10.0.1.1.59743 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:56.017175 IP 10.0.1.1.59701 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:56.064412 IP 10.0.1.1.59701 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:56.621561 IP 10.0.1.1.59187 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:56.662603 IP 10.0.1.1.59187 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:57.205519 IP 10.0.1.1.50054 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:57.253780 IP 10.0.1.1.50054 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:57.800940 IP 10.0.1.1.51232 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:57.840848 IP 10.0.1.1.51232 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:58.393322 IP 10.0.1.1.60386 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:58.445383 IP 10.0.1.1.60386 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:58.976934 IP 10.0.1.1.61412 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:59.022272 IP 10.0.1.1.61412 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:11:59.556975 IP 10.0.1.1.58620 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:11:59.614574 IP 10.0.1.1.58620 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:00.153043 IP 10.0.1.1.61495 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:00.192590 IP 10.0.1.1.61495 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:00.733431 IP 10.0.1.1.65087 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:00.770687 IP 10.0.1.1.65087 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:01.320413 IP 10.0.1.1.56624 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:01.368404 IP 10.0.1.1.56624 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:01.920475 IP 10.0.1.1.51701 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:01.968598 IP 10.0.1.1.51701 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:02.513549 IP 10.0.1.1.56652 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:02.560553 IP 10.0.1.1.56652 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:03.098880 IP 10.0.1.1.54974 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:03.139591 IP 10.0.1.1.54974 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:03.676700 IP 10.0.1.1.51033 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:03.724608 IP 10.0.1.1.51033 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:04.260705 IP 10.0.1.1.51722 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:04.325477 IP 10.0.1.1.51722 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:04.874303 IP 10.0.1.1.56101 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:04.921952 IP 10.0.1.1.56101 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:05.472175 IP 10.0.1.1.62029 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:05.514422 IP 10.0.1.1.62029 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:06.064720 IP 10.0.1.1.57192 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:06.108627 IP 10.0.1.1.57192 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:06.659433 IP 10.0.1.1.49394 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
